rank,full_name,stars,url,cbo_avg,dit_avg,lcom_avg,error_message
1,Snailclimb/JavaGuide,151673,https://github.com/Snailclimb/JavaGuide,error,error,error,CK failed with no error message
2,krahets/hello-algo,116414,https://github.com/krahets/hello-algo,error,error,error,CK failed with no error message
3,GrowingGit/GitHub-Chinese-Top-Charts,102048,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,error,error,error,CK failed with no error message
4,iluwatar/java-design-patterns,92630,https://github.com/iluwatar/java-design-patterns,error,error,error,class.csv not generated by CK
